idpregunta,category,value,question,choice_a,choice_b,choice_c,choice_d,answer,Unnamed: 9
13,Gestión Pública,100,"¿Qué modelo destaca el rol del Estado y del gobierno como prestadores de servicios con eficiencia y calidad, considerando a los ciudadanos como consumidores, usuarios y clientes de productos públicos?",El modelo de Estado social.,El modelo de Estado supermercado.,El modelo de Estado democrático.,El modelo de Estado administrativo.,b,
3,Gestión Pública,100,¿Cuál fue el mérito de Jan Kooiman respecto al concepto de gobernanza?,Haber creado organismos internacionales.,Haber impulsado reformas económicas.,Haber propuesto una nueva teoría política.,Haber sido el primero en llamar la atención sobre el cambio en el equilibrio entre el gobierno y la sociedad.,d,
14,Gestión Pública,100,"¿Cuál es el modelo que se sustenta en tres conjuntos de variables independientes: factores de entorno, factores cultural-administrativos y factores políticos?",El modelo explicativo.,El modelo de gestión pública.,El modelo de gobernanza.,El modelo de Estado soberano.,a,
6,Gestión Pública,100,¿Cuál es una de las características del concepto de gobernación?,La separación absoluta entre lo público y lo privado.,Implica un conjunto de instituciones y actores que se encuentran dentro y fuera del gobierno.,La concentración del poder únicamente en el Estado.,La exclusión de actores externos al gobierno.,b,
12,Gestión Pública,100,"¿Qué modelo corresponde a un Estado centralizado que busca asegurar la vigencia de los valores colectivos mediante el imperio de la ley, una burocracia experta y un liderazgo político sometido al control ciudadano?",El modelo de Estado liberal.,El modelo de Estado democrático.,El modelo de Estado social.,El modelo de Estado actual.,c,
26,Gestión Pública,200,¿Cuál de los siguientes es un componente típico de la gestión del gasto público?,"Presupuestación, control y sistemas de información ",Diseño de logos institucionales,Prohibición de auditorías externas,Exclusión de la ciudadanía del proceso presupuestario,a,
29,Gestión Pública,200,¿Cuál de los siguientes retos es frecuente en la gestión pública aplicada en México?,Exceso de recursos humanos calificados,Transparencia perfecta sin problemas,"Corrupción, burocracia y falta de evaluación de resultados ",Ausencia completa de leyes,c,
27,Gestión Pública,200,¿Qué principio es fundamental para la modernización de la administración pública en México?,Secreto institucional,Centralización total,Exclusión de la evaluación,Profesionalización del servicio público ,d,
23,Gestión Pública,200,La reforma de la “Nueva Gerencia Pública” en México implicó principalmente:,Fortalecer el centralismo estatal,Introducir mecanismos de gestión privada en el sector público ,Eliminar los servicios sociales del Estado,Aumentar los impuestos sin evaluación de impacto,b,
21,Gestión Pública,200,¿Cuál es el propósito central de la gestión pública en el contexto mexicano?,Maximizar beneficios económicos para el estado,Incrementar el poder político del ejecutivo,Satisfacer las necesidades públicas mediante servicios eficientes y transparentes ,Privatizar la mayor parte de los servicios públicos,c,
22,Gestión Pública,200,¿Cuál de los siguientes instrumentos legales es clave para la transparencia y rendición de cuentas en México?,Ley Federal del Trabajo,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental ,Ley de Asociaciones Religiosas,Ley de Propiedad Industrial,b,
25,Gestión Pública,200,¿Cuál es una prioridad en la evaluación de políticas y programas públicos en el ámbito mexicano?,Reducir el número de servidores públicos a la mitad,Asegurar que los programas generen valor público ,Sustituir al gobierno por el sector privado,Incrementar el gasto público sin resultados,b,
28,Gestión Pública,200,"En el contexto mexicano, ¿qué rol tiene la participación ciudadana en la gestión pública?","Ninguno, está prohibida",Es decorativa sin impacto,Permite la co-creación de políticas públicas y mejora de la eficiencia ,Sólo se utiliza para campañas electorales,c,
19,Gestión Pública,200,"¿Tanto en el sector público como en el privado, el resultado de la diferencia que establece una organización en su “cadena/sistema de valor” respecto de otros agentes en virtud de sus “competencias centrales” se denomina cómo?",Estrategia.,Gobernanza.,Posicionamiento.,Planeación estratégica.,c,
24,Gestión Pública,200,"En México, ¿qué programa promovió una administración pública “accesible, moderna y eficiente” en los años 90?",Programa de Desarrollo Urbano,Programa de Modernización de la Administración Pública ,Programa Nacional de Seguridad Pública,Programa de Justicia Penal,b,
20,Gestión Pública,200,"¿En qué consiste, en un primer momento, el identificar y calcular el posicionamiento de la organización en su sector de actividad?",La planeación operativa.,La gestión administrativa,La gestión administrativa,La evaluación de desempeño institucional.,c,
16,Gestión Pública,200,¿Quién acuñó por primera vez la expresión “Consenso de Santiago”?,Un grupo de economistas latinoamericanos.,El secretario general de la ONU.,"El presidente del Banco Mundial, James D. Wolfensohn.",El presidente de Chile.,c,
17,Gestión Pública,200,¿Qué ha sido uno de los giros importantes de las ciencias sociales en la segunda mitad del siglo XX?,La centralización del poder político.,Modelar el comportamiento de los actores públicos al modo de los actores de mercado.,La desaparición del mercado en la economía.,La reducción del papel de los actores públicos.,b,
18,Gestión Pública,200,¿Cuál ha sido la manifestación más conocida y generalizada de los estudios contemporáneos sobre la estrategia a partir de los años sesenta del siglo XX?,La administración por objetivos,La gestión pública moderna.,El liderazgo organizacional.,La planeación estratégica.,d,
38,Gestión Pública,300,¿Cuál de los siguientes instrumentos sirve para conocer la voz de la ciudadanía en la gestión pública mexicana?,Encuestas de satisfacción ciudadana,Auditorías internas,Auditorías internas,Ninguno salvo los medios de comunicación,a,
43,Gestión Pública,300,¿Qué implica la rendición de cuentas en el contexto de la gestión pública en México?,Que el gobierno no presenta informes,"Que los ciudadanos tienen información, se evalúa la actuación estatal y se sancionan irregularidades ",Que solo el ejecutivo evalúa sin control externo,Que se oculta la información,b,
39,Gestión Pública,300,¿Qué rol juega la tecnología de la información en la gestión pública aplicada en México?,"Ninguno, es irrelevante",Solo para correo electrónico,"Facilita la digitalización de servicios, mejora la transparencia y la eficiencia ",Solo como sistema de vigilancia,c,
42,Gestión Pública,300,¿Cómo contribuye la gestión de riesgos en la administración pública mexicana?,No se usa en el sector público,"Sirve para anticipar, mitigar y gestionar posibles fallas en políticas y procesos ",Solo para desastres naturales,Solo para empresas privadas,b,
31,Gestión Pública,300,¿Cómo se define “valor público” en la gestión pública?,Exclusivamente en términos de ingresos,Solo como beneficio para el ejecutivo,Como los beneficios que los ciudadanos obtienen del actuar gubernamental ,Únicamente la privatización de servicios,c,
41,Gestión Pública,300,"En el ámbito mexicano, ¿qué es un “programa social” desde la gestión pública?",Una actividad privada sin presupuesto,"Una política estatal con objetivos sociales, recursos asignados y mecanismos de gestión ",Una iniciativa únicamente electoral,Un grupo de voluntarios sin supervisión,b,
32,Gestión Pública,300,"En la gestión pública mexicana, la “gestión para resultados” significa:",Aumentar el número de programas sin medirlos,Priorizar resultados sobre estructuras y procesos ,Reducir todos los procesos a formularios,Demandar resultados sin recursos,b,
30,Gestión Pública,300,¿Qué elemento favorece la gobernanza en la gestión pública mexicana?,Autoritarismo sin contrapesos,Cooperación interinstitucional y rendición de cuentas ,Ausencia de regulación normativa,Ignorar a los actores sociales,b,
35,Gestión Pública,300,¿Cuál es una característica de la nueva gestión pública aplicada en México?,Ausencia de metas,Exclusivo control burocrático sin innovación,"Orientación hacia el ciudadano, la eficiencia y la calidad del servicio ",Rechazo de cualquier gestión basada en evidencia,c,
36,Gestión Pública,300,"En México, la gestión de personas en la administración pública debe orientarse hacia:",La permanencia automática sin evaluación,"La profesionalización, capacitación y criterios de mérito ",La exclusión de servidores públicos jóvenes,El nepotismo institucionalizado,b,
33,Gestión Pública,300,¿Cuál es el impacto de la descentralización en la gestión pública de México?,Siempre elimina la corrupción,No cambia nada,"Puede aumentar la adaptación local de políticas y mejorar eficiencia, pero también generar desafíos de coordinación ",Centraliza el poder en el ejecutivo federal,c,
37,Gestión Pública,300,¿Cuál es la relación entre cultura organizacional y gestión pública?,No tienen relación alguna,La cultura organizacional impide cualquier cambio,"La cultura institucional influye en la eficiencia, el desempeño y la innovación en la gestión pública ",La cultura solo importa para empresas privadas,c,
34,Gestión Pública,300,¿Qué importancia tiene la evaluación de políticas públicas en México?,Ninguna,Solo para documentos internos,Solo sirve para marketing político,"Permite conocer el impacto, eficiencia y mejora continua de las intervenciones gubernamentales ",d,
40,Gestión Pública,300,¿Cuál es la función principal de los indicadores de desempeño en la gestión pública?,Aumentar el número de programas sin finalidad,"Medir, monitorear y mejorar la gestión de políticas y servicios públicos ",Sustituir por completo la rendición de cuentas,Ocultar la realidad operativa,b,
51,Gestión Pública,400,"¿Qué disciplina fue la primera en llamar la atención, desde los años cincuenta del siglo pasado, sobre el hecho de que el proceso directivo social del gobierno era algo opaco y desconocido, al no ser objeto de estudio sistemático y especializado de ninguna rama del conocimiento?",La sociología política,La economía,La disciplina de política pública,La administración pública,c,
44,Gestión Pública,400,¿Cuál es un beneficio de aplicar la evaluación de impacto en los programas públicos en México?,Aumentar automáticamente el presupuesto,"Conocer qué intervenciones funcionan, optimizar recursos y mejorar resultados ",Evitar toda evaluación,Solo beneficiar a proveedores,b,
45,Gestión Pública,400,¿Por qué es relevante la coordinación intergubernamental en México para la gestión pública?,Porque elimina los gobiernos estatales,Porque evita toda regulación,"Porque permite articular acciones entre niveles federal, estatal y municipal para mayor eficacia ",Porque centraliza todo en el municipio,c,
48,Gestión Pública,400,¿Qué entiende la gestión pública mexicana por “cliente ciudadano”?,Que los ciudadanos sean tratados como simples receptores pasivos,"Que los ciudadanos participen activamente, sean informados y obtengan servicios de calidad ",Que los ciudadanos no tengan acceso a servicios,Que los ciudadanos sólo paguen impuestos sin derechos,b,
55,Gestión Pública,400,¿Con qué factores están relacionadas las dos tendencias renovadoras de la Administración Pública en el siglo XXI?,Con el aislamiento económico y la desaparición de la tecnología,Con la reducción del comercio internacional y el fin de la globalización,Con el fortalecimiento de los regímenes autoritarios y el cierre de fronte,"Con la globalización económica, la revolución tecnológica, las desigualdades sociales, la migración y los nuevos riesgos ambientales y doctrinarios",d,
53,Gestión Pública,400,¿A qué se debe la primera tendencia de reactivación de lo público en la Administración Pública contemporánea?,Al fortalecimiento de las élites económicas y empresariales,A la lucha de muchos países por democratizar sus regímenes autoritarios y al despertar de la sociedad civil que evalúa y participa en los asuntos públicos,A la imposición de políticas centralizadoras del Estado,Al incremento del control burocrático y militar del gobierno,b,
50,Gestión Pública,400,¿Qué significa la “gestión adaptativa” en la administración pública mexicana contemporánea?,Mantener siempre la misma estructura sin cambios,"Poder modificar estrategias, políticas y servicios en función de nuevas circunstancias y evidencias ",Eliminar evaluación,Incrementar burocracia sin análisis,b,
49,Gestión Pública,400,¿Cómo influye la ética pública en la gestión pública en México?,No tiene impacto,"Es fundamental para generar confianza, integridad institucional y buen uso de los recursos públicos ",Solo es un slogan sin efecto,Viene solo de empresas privadas,b,
46,Gestión Pública,400,¿Qué elemento es clave en la gestión financiera pública en México?,Ocultar los presupuestos,"Presupuestación basada en resultados, control interno y transparencia ",Aumentar la deuda sin controles,Eliminar auditorías,b,
47,Gestión Pública,400,¿Cuál es el papel del control interno en las instituciones públicas mexicanas?,No existe,Sólo para cuestiones privadas,La gente.,Sustituir al ejecutivo,b,
57,Gestión Pública,400,¿Cuándo ocurre la recuperación del ciudadano desde la vertiente pública de la Administración Pública?,"Cuando los ciudadanos se limitan a ser electores, contribuyentes y receptores pasivos de la acción gubernamental.","Cuando los ciudadanos asumen un papel activo y corresponsable en la deliberación política, en la formulación de políticas públicas y en la prestación de servicios públicos.",Cuando se refuerza la separación entre el gobierno y la sociedad civil,Cuando se reduce la participación ciudadana a la opinión pública y al voto,b,
56,Gestión Pública,400,¿Qué se entiende por recuperación y reactivación de la naturaleza pública de la Administración Pública?,Promover el uso discrecional del poder por parte de las autoridades,Favorecer la excepción y la impunidad en la gestión pública,Incrementar la burocracia y fortalecer el autoritarismo institucional,"Poner énfasis en la legalidad de la elección, designación y actuación de las autoridades, combatiendo la arbitrariedad y la discrecionalidad",d,
54,Gestión Pública,400,"¿Con qué está relacionada directamente la segunda tendencia de la Administración Pública, aquella que busca reconstruir su capacidad administrativa?",Con las medidas de ajuste y equilibrio hacendario necesarias para superar la bancarrota fiscal y mantener la viabilidad del Estado,) Con el fortalecimiento del sindicalismo y la burocracia estatal,Con la descentralización política y la eliminación de impuestos,Con la expansión territorial del Estado y el aumento del gasto militar,a,
52,Gestión Pública,400," ¿A qué dos tendencias corresponden las respuestas que los gobiernos y las sociedades dieron, en las últimas décadas, para enfrentar la crisis política y económica de los Estados sociales?",La tendencia militar y la tendencia educ,La tendencia tecnológica y la tendencia ambiental,La tendencia populista y la tendencia neoliberal,La tendencia pública y la tendencia gerencial,d,
67,Gestión Pública,500,¿Qué distingue al concepto de gobernanza respecto a la gobernabilidad?,Que se basa solo en tener capacidad institucional.,"Que diferencia entre capacidad y eficacia directiva, según cómo el gobierno se relaciona con la sociedad.",Que garantiza automáticamente la eficacia del gobierno,Que excluye la participación social,b,
66,Gestión Pública,500,"Según el enfoque liberal, ¿cómo se interpreta el peligro de ingobernabilidad que enfrentan los Estados contemporáneos?",Como una crisis estructural del sistema económico y constitucional que pone en duda los principios del liberalismo,"Como el resultado del desequilibrio entre capital y trabajo, propio de las relaciones de producción injustas",Como una falla derivada de la pérdida de legitimidad del principio de mercado y de la democracia liberal.,"Como una crisis de la acción gubernativa, centrada en la capacidad del gobierno para gobernar eficazmente, sin cuestionar la estructura del sistema económico ni los principios liberales del Estado",d,
59,Gestión Pública,500,¿Cuál es un punto de coincidencia entre las vertientes pública y gerencial de la Administración Pública?,Mantener la visión internista y cerrada de la Administración Pública,"Superar la visión internista de la Administración Pública, buscando corregir su autocontención y apertura hacia el entorno social",Reforzar el aislamiento de la Administración Pública respecto a la sociedad,Limitar la gestión pública únicamente a los asuntos internos del gobierno,b,
70,Gestión Pública,500,¿A qué enfoque corresponde el principio de que un gobierno capaz es suficiente para la gobernación de la sociedad?,Al enfoque de la vieja gobernación,A la participación social,A la nueva gobernanza,A la sociedad civil,a,
60,Gestión Pública,500,¿Qué idea distingue a la visión convencional de la Administración Pública?,"Que la Administración Pública es competencia exclusiva del poder público, especialmente del Ejecutivo, y los ciudadanos son solo objetos de la administración.",Que los ciudadanos son corresponsables en la gestión de los asuntos públicos,Que la Administración Pública es un proceso compartido entre gobierno y sociedad civil,Que la Administración Pública debe incluir activamente a los ciudadanos en la toma de decisiones,a,
65,Gestión Pública,500,"¿A qué enfoque teórico pertenece la idea de que la ingobernabilidad social surge del intercambio desigual entre capital y trabajo, generando conflictos de clase e inestabilidad política y económica?",Al enfoque liberal clásico,Al enfoque funcionalista,Al enfoque marxista,Al enfoque conductista,c,
58,Gestión Pública,500, ¿Cuándo ocurre la recuperación del ciudadano desde la vertiente gerencial de la Administración Pública?,Cuando el ciudadano es visto únicamente como subordinado del gobierno y sin capacidad de exigir resultados.,Cuando el ciudadano se mantiene alejado de los procesos administrativos y de evaluación de servicios ,Cuando el gobierno ignora las expectativas ciudadanas en la prestación de los servicios públicos,Cuando el ciudadano es entendido como un agente clave del entorno gubernamental o como usuario/cliente cuyas demandas deben incorporarse en la gestión y calidad del servicio público,d,
68,Gestión Pública,500,"Según el enfoque tradicional, ¿cómo se concibe la conducción social dentro de la idea de gobernabilidad?","Como una responsabilidad exclusiva del Estado, especialmente del poder ejecutivo, bajo un enfoque estadocéntrico y presidencialista.",Como una tarea compartida entre el Estado y la sociedad civil,Como un proceso descentralizado basado en la autogestión comunitaria,Como una función delegada a organismos internacionales,a,
62,Gestión Pública,500,¿De qué enfoque han comenzado a liberarse la disciplina administrativa y el reordenamiento de los gobiernos en las últimas décadas?,"Del enfoque de finanzas públicas, centrado en el ajuste financiero, la estabilización macroeconómica y el equilibrio ingreso-gasto.",Del enfoque social centrado en la participación ciudadana y la equidad,Del enfoque tecnológico orientado a la innovación digital en la gestión pública,Del enfoque político que prioriza la gobernanza y la cooperación interinstitucional,a,
61,Gestión Pública,500,¿Cuál es la característica distintiva y el principal aporte de las dos tendencias contemporáneas de la Administración Pública?,Incrementar la cantidad de programas y el tamaño del aparato administrativo del Estado,Ampliar las áreas de intervención del gobierno sin considerar la eficiencia,Aumentar el gasto público como medida de desarrollo institucional,"Establecer la calidad como principio supremo de acción, superando el enfoque cuantitativo de décadas pasadas centrado en el tamaño y gasto del Estado",d,
64,Gestión Pública,500,¿Por qué la crisis se convirtió en una referencia básica dentro del ámbito intelectual y profesional público?,Porque la mayoría de los politólogos adoptaron un enfoque positivista centrado en la estabilidad social.,Porque el pensamiento liberal consideraba la crisis como una falla temporal del sistema,Porque los gobiernos promovieron la idea de crisis para justificar políticas autoritarias,Porque muchos politólogos influenciados por el marxismo veían la crisis como un proceso necesario para transformar las sociedades estructuradas por clases,d,
69,Gestión Pública,500,"¿Qué elemento es entendido como el problema y no como parte de la solución, según el enfoque tradicional de la gobernabilidad?",El Estado,El gobierno,La economía,La sociedad,d,
63,Gestión Pública,500,¿Cuál fue el horizonte central de la ciencia política y de la Administración Pública a finales del siglo XX?,El fortalecimiento sin precedentes de los Estados sociales y de las democracias consolidadas,El éxito económico de los regímenes socialistas estatizados,La expansión estable del capitalismo y la ausencia de conflictos políticos,"La crisis de los Estados sociales, de las sociedades socialistas y el riesgo de colapso de las democracias por falta de capacidades de gobierno",d,
112,Entorno Institucional,100,¿Cuál de los siguientes órganos se encuentra en la Estructura Orgánica de la Secretaría de la Defensa Nacional y depende directamente del Secretario?,Subsecretaría de la Defensa Nacional.,Oficialía Mayor.,Comandancia del Ejército Mexicano.,Estado Mayor Conjunto de la Defensa Nacional.,D,
118,Entorno Institucional,100,¿Qué órgano tiene por objetivo brindar certeza jurídica y apoyo en materia pericial a la Fiscalía General de Justicia Militar y la Defensoría de Oficio Militar?,Fiscalía General de Justicia Militar.,Tribunal Superior Militar.,Defensoría de Oficio Militar.,Coordinación de Servicios Periciales y Ciencias Forenses.,D,
111,Entorno Institucional,100,¿Cuál es la función principal de la Secretaría de la Defensa Nacional (SEDENA) que implica representar y resolver los asuntos de su competencia? ,Desempeñarse como Alto Mando del Ejército y Fuerza Aérea.,Delegar algunas facultades en las o los titulares de los órganos administrativos de la Secretaría.,Determinar la elaboración de los planes para la defensa y seguridad interior.,"Representar, administrar y la resolución de los asuntos de la competencia de la Secretaría. ",D,
116,Entorno Institucional,100,"El órgano del Fuero de Guerra que tiene como objetivo asistir jurídicamente al personal militar imputado, acusado o sentenciado para llevar a cabo una defensa técnica, adecuada y de calidad es:",Tribunal Superior Militar.,Fiscalía General de Justicia Militar.,Coordinadora de Servicios Periciales y Ciencias Forenses.,Defensoría de Oficio Militar.,D,
117,Entorno Institucional,100,¿Qué Dirección General tiene la función de gestionar el uso de las frecuencias necesarias para las comunicaciones por radio del Ejército y Fuerza Aérea?,Dirección General de Informática.,Dirección General de Administración.,Dirección General de Transmisiones.,Estado Mayor Conjunto de la Defensa Nacional.,C,
115,Entorno Institucional,100,"¿Qué Dirección General tiene como objetivo ser un referente para la administración eficaz del presupuesto, los activos fijos y los sistemas de registro de contabilidad gubernamental?",Dirección General de Personal.,Dirección General de Transmisiones.,Dirección General de Intendencia.,Dirección General de Administración.,D,
114,Entorno Institucional,100,El órgano del Fuero de Guerra que tiene bajo su responsabilidad el ejercicio de la acción penal y la investigación y persecución de los delitos del orden castrense es:,Defensoría de Oficio Militar.,Tribunal Superior Militar.,Fiscalía General de Justicia Militar.,Coordinadora de Servicios Periciales y Ciencias Forenses.,C,
113,Entorno Institucional,100,¿Cuál es el objetivo del órgano del Fuero de Guerra denominado Tribunal Superior Militar?,Coadyuvar en la conservación de la disciplina militar mediante la investigación de delitos.,Asistir jurídicamente al personal militar imputado.,Brindar apoyo en materia pericial a los órganos de justicia.,Administrar la Justicia Militar mediante la emisión de resoluciones de segunda instancia.,D,
122,Entorno Institucional,200,El objetivo de la Secretaría de la Defensa Nacional (SEDENA) es:,"Defender la integridad, la independencia y la soberanía de la nación.","Organizar, equipar, educar, adiestrar, capacitar, administrar y desarrollar a las fuerzas armadas de tierra y aire.","Representar, administrar y la resolución de los asuntos de la competencia de la Secretaría.",Someter al acuerdo del Presidente los asuntos encomendados a la Secretaría.,B,
125,Entorno Institucional,200,"La función de ""Desempeñarse como Alto Mando del Ejército y Fuerza Aérea"" es una función directa del:",Jefe del Estado Mayor Conjunto de la Defensa Nacional.,Subsecretario de la Defensa Nacional.,Oficial Mayor.,Secretario de la Defensa Nacional.,D,
119,Entorno Institucional,200,¿Qué Dirección General tiene entre sus funciones la de seleccionar y clasificar al personal militar desde los puntos de vista físico y psicobiológico?,Dirección General de Personal.,Dirección General de Educación Militar.,Dirección General de Justicia Militar.,Dirección General de Sanidad.,D,
120,Entorno Institucional,200,¿Cuál es el objetivo de la Dirección General de Informática?,Gestionar las frecuencias y sistemas de comunicaciones de la Secretaría.,Proporcionar al Ejército y Fuerza Aérea Mexicanos Tecnologías de la Información de vanguardia.,Administrar y controlar el material aéreo electrónico.,Dirigir el desarrollo de la Guerra de Información.,B,
123,Entorno Institucional,200,¿Cuál es la Visión de la Secretaría de la Defensa Nacional (SEDENA)?,"Organizar, administrar y preparar al Ejército y Fuerza Aérea.","Posicionarse como una institución moderna, confiable, capacitada y tecnológicamente avanzada.",Establecer acuerdos de colaboración con las instituciones ambientales.,Administrar la Justicia Militar mediante resoluciones de segunda instancia.,B,
126,Entorno Institucional,200,¿Cuál es el objetivo de la Dirección General de Materiales de Guerra?,Producir material de guerra y proporcionar mantenimiento al armamento.,Desarrollar las Funciones logísticas y técnicas del material de guerra y equipamiento industrial.,Gestionar el uso de las frecuencias necesarias para las comunicaciones por radio.,"Planear, coordinar y dirigir el adiestramiento de las Unidades.",B,
124,Entorno Institucional,200,"La función de ""Llevar y controlar el Detall General del Ejército y Fuerza Aérea"" le corresponde a la:",Dirección General de Administración.,Oficialía Mayor.,Dirección General de Intendencia.,Dirección General de Personal.,D,
121,Entorno Institucional,200,¿Cuál es la Misión de la Secretaría de la Defensa Nacional?,"Posicionarse como una institución moderna, confiable y tecnológicamente avanzada.","Organizar, administrar y preparar al Ejército y Fuerza Aérea para defender la integridad, la independencia y la soberanía de la nación.",Contribuir al logro de las metas prioritarias establecidas en el Programa Sectorial de Defensa Nacional.,Auxiliar al titular de la Secretaría en asuntos de su competencia en la planeación.,B,
131,Entorno Institucional,300,"¿Qué organismo tiene como objetivo Contribuir al logro de las metas institucionales de la SEDENA mediante la planeación, organización y dirección de los recursos humanos, financieros y materiales que son asignados?",La Subsecretaría.,El Estado Mayor Conjunto de la Defensa Nacional.,La Oficialía Mayor. ,La Dirección General de Administración.,C,
134,Entorno Institucional,300,"De conformidad con la Ley Orgánica de la Administración Pública Federal, una de las atribuciones de la SEDENA es:","Organizar, administrar y preparar al Ejército y la Fuerza Aérea.",Manejar el activo de la Guardia Nacional.,Organizar y preparar el Servicio Militar de Plaza.,Intervenir en los asuntos de la Armada de México.,A,
132,Entorno Institucional,300,"El objetivo de ""Producir material de guerra y proporcionar mantenimiento al armamento, vehículos y equipo militar e industrial"" buscando la independencia tecnológica, corresponde a la:",Dirección General de Fábricas de Vestuario y Equipo.,Dirección General de Materiales de Guerra.,Dirección General de Industria Militar.,Dirección General de Ingenieros.,C,
127,Entorno Institucional,300,"¿Qué órgano técnico operativo es el colaborador inmediato del titular de la Secretaría, a quien auxilia en la planeación y coordinación de los asuntos de la Defensa Nacional?",La Subsecretaría.,La Oficialía Mayor.,La Comandancia del Ejército.,El Estado Mayor Conjunto de la Defensa Nacional.,D,
130,Entorno Institucional,300,"¿Qué organismo tiene como objetivo Contribuir al logro de las metas prioritarias establecidas en el Programa Sectorial de Defensa Nacional mediante la planeación, coordinación y evaluación de los recursos humanos, materiales y financieros?",La Oficialía Mayor.,El Estado Mayor Conjunto de la Defensa Nacional.,La Subsecretaría. ,La Inspección y Contraloría General.,C,
133,Entorno Institucional,300,"¿Qué Dirección General tiene como objetivo Materializar en tiempo y forma el Programa de Producción Anual para satisfacer las necesidades de vestuario y equipo del Ejército, Fuerza Aérea y Guardia Nacional?",Dirección General de Industria Militar.,Dirección General de Intendencia.,Dirección General de Fábricas de Vestuario y Equipo.,Dirección General de Administración.,C,
129,Entorno Institucional,300,"¿Qué Dirección General tiene entre sus funciones la de ""Elaborar y proponer los menús valorados para la alimentación del personal"" del Ejército, Fuerza Aérea y Servicio Militar Nacional?",Dirección General de Sanidad.,Dirección General de Administración.,Dirección General de Intendencia.,Dirección General de Veterinaria y Remonta.,C,
128,Entorno Institucional,300,¿Cuál es el objetivo de la Unidad de Asuntos Jurídicos?,Brindar apoyo legal exclusivo al personal militar imputado.,Coordinar la elaboración de los proyectos de iniciativas de ley.,"Representar legalmente al titular de la Secretaría y Unidades Administrativas, y fungir como consultoría jurídica.",Dirigir la planeación y programación del presupuesto de comunicación social.,C,
140,Entorno Institucional,400,¿Cuál de las siguientes Direcciones Generales se encuentra adscrita a la Oficialía Mayor?,Dirección General de Justicia Militar.,Dirección General del Servicio Militar Nacional.,Dirección General de Veterinaria y Remonta.,Dirección General de Derechos Humanos.,C,
141,Entorno Institucional,400,El Estado Mayor Conjunto (EMC) tiene la función de mantener actualizada la Planeación Estratégica de la Secretaría para hacer frente a:,El desabasto logístico en tiempo de paz.,La corrupción dentro de la Administración Militar.,Los cambios en la estructura orgánica de las Unidades.,Los antagonismos que atenten contra la Seguridad y el Desarrollo Nacionales.,D,
135,Entorno Institucional,400,¿Cuál de los siguientes ordenamientos jurídicos ratifica la competencia y denominación de la Secretaría como Secretaría de la Defensa Nacional?,Ley de Disciplina del Ejército y Fuerza Aérea Mexicanos.,Código de Justicia Militar.,Ley Orgánica de la Administración Pública Federal (1976) y sus reformas.,Ley que crea la Universidad del Ejército y Fuerza Aérea.,C,
137,Entorno Institucional,400,"¿Cuál es el antecedente histórico de la organización militar de México que proviene del pueblo Azteca, por el rico legado de sus instituciones? ",El Ejército de las Tres Garantías.,Las Siete Leyes constitucionales de 1836.,"La organización militar del pueblo Azteca con el ""Tepochcalli"" y ""Calmecac"".",La creación del Ministerio de Guerra y Marina en 1821.,C,
